DATE,MHIMA25025A052NCEN
1989-01-01,25227
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,30143
1994-01-01,.
1995-01-01,32836
1996-01-01,.
1997-01-01,36260
1998-01-01,37931
1999-01-01,37950
2000-01-01,40641
2001-01-01,39621
2002-01-01,39993
2003-01-01,40089
2004-01-01,41517
2005-01-01,43155
2006-01-01,47312
2007-01-01,49853
2008-01-01,51145
2009-01-01,53751
2010-01-01,49584
2011-01-01,49033
2012-01-01,50884
2013-01-01,54164
2014-01-01,54280
2015-01-01,56530
2016-01-01,61367
2017-01-01,65999
2018-01-01,68743
2019-01-01,75843
2020-01-01,85221
