DATE,MHITX48215A052NCEN
1989-01-01,16428
1990-01-01,
1991-01-01,
1992-01-01,
1993-01-01,18103
1994-01-01,
1995-01-01,19957
1996-01-01,
1997-01-01,20034
1998-01-01,20856
1999-01-01,22746
2000-01-01,24855
2001-01-01,24115
2002-01-01,24449
2003-01-01,25937
2004-01-01,26375
2005-01-01,24808
2006-01-01,28538
2007-01-01,30153
2008-01-01,30513
2009-01-01,30360
2010-01-01,33070
2011-01-01,31021
2012-01-01,33393
2013-01-01,34607
2014-01-01,34368
2015-01-01,35441
2016-01-01,35928
2017-01-01,36978
2018-01-01,38785
2019-01-01,41656
2020-01-01,46653
