DATE,MHICA06085A052NCEN
1989-01-01,44316
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,49795
1994-01-01,.
1995-01-01,53490
1996-01-01,.
1997-01-01,59639
1998-01-01,63298
1999-01-01,68619
2000-01-01,74705
2001-01-01,72869
2002-01-01,70216
2003-01-01,68223
2004-01-01,68842
2005-01-01,76686
2006-01-01,80775
2007-01-01,84265
2008-01-01,88525
2009-01-01,84990
2010-01-01,84627
2011-01-01,84741
2012-01-01,91195
2013-01-01,91843
2014-01-01,97219
2015-01-01,102191
2016-01-01,110843
2017-01-01,118468
2018-01-01,125933
2019-01-01,132444
2020-01-01,139462
