DATE,MHIMO29189A052NCEN
1989-01-01,38596
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,42328
1994-01-01,.
1995-01-01,42904
1996-01-01,.
1997-01-01,47825
1998-01-01,49412
1999-01-01,49778
2000-01-01,51309
2001-01-01,51313
2002-01-01,50500
2003-01-01,51453
2004-01-01,52097
2005-01-01,54342
2006-01-01,53349
2007-01-01,56864
2008-01-01,57782
2009-01-01,56939
2010-01-01,55290
2011-01-01,55131
2012-01-01,56409
2013-01-01,59284
2014-01-01,60093
2015-01-01,61569
2016-01-01,62756
2017-01-01,64926
2018-01-01,66992
2019-01-01,70161
2020-01-01,68964
