DATE,ACTLISCOU8031
2016-07-01,1624.0
2016-08-01,1760.0
2016-09-01,1808.0
2016-10-01,1725.0
2016-11-01,1506.0
2016-12-01,1185.0
2017-01-01,1101.0
2017-02-01,1080.0
2017-03-01,1180.0
2017-04-01,1272.0
2017-05-01,1438.0
2017-06-01,1549.0
2017-07-01,1716.0
2017-08-01,1772.0
2017-09-01,1852.0
2017-10-01,1763.0
2017-11-01,1442.0
2017-12-01,1088.0
2018-01-01,1014.0
2018-02-01,1036.0
2018-03-01,1142.0
2018-04-01,1272.0
2018-05-01,1335.0
2018-06-01,1593.0
2018-07-01,1692.0
2018-08-01,1756.0
2018-09-01,1877.0
2018-10-01,1969.0
2018-11-01,1953.0
2018-12-01,1607.0
2019-01-01,1465.0
2019-02-01,1555.0
2019-03-01,1675.0
2019-04-01,1811.0
2019-05-01,2049.0
2019-06-01,2209.0
2019-07-01,2215.0
2019-08-01,2211.0
2019-09-01,2265.0
2019-10-01,2312.0
2019-11-01,1990.0
2019-12-01,1715.0
2020-01-01,888.0
2020-02-01,892.0
2020-03-01,1093.0
2020-04-01,1252.0
2020-05-01,1555.0
2020-06-01,2056.0
2020-07-01,1979.0
2020-08-01,1959.0
2020-09-01,1948.0
2020-10-01,1833.0
2020-11-01,1570.0
2020-12-01,1172.0
2021-01-01,926.0
2021-02-01,809.0
2021-03-01,802.0
2021-04-01,740.0
2021-05-01,737.0
2021-06-01,876.0
2021-07-01,985.0
2021-08-01,1050.0
2021-09-01,1045.0
2021-10-01,968.0
2021-11-01,754.0
2021-12-01,498.0
2022-01-01,377.0
