DATE,ACTLISCOU6037
2016-07-01,14492.0
2016-08-01,14719.0
2016-09-01,14597.0
2016-10-01,14479.0
2016-11-01,13619.0
2016-12-01,11714.0
2017-01-01,10839.0
2017-02-01,10604.0
2017-03-01,10836.0
2017-04-01,11157.0
2017-05-01,11729.0
2017-06-01,12536.0
2017-07-01,12889.0
2017-08-01,12991.0
2017-09-01,12827.0
2017-10-01,12512.0
2017-11-01,11620.0
2017-12-01,9971.0
2018-01-01,9337.0
2018-02-01,10204.0
2018-03-01,10547.0
2018-04-01,11363.0
2018-05-01,12102.0
2018-06-01,13277.0
2018-07-01,14273.0
2018-08-01,15033.0
2018-09-01,15797.0
2018-10-01,16456.0
2018-11-01,16557.0
2018-12-01,14739.0
2019-01-01,13773.0
2019-02-01,14005.0
2019-03-01,13986.0
2019-04-01,13920.0
2019-05-01,14664.0
2019-06-01,14902.0
2019-07-01,15137.0
2019-08-01,14905.0
2019-09-01,14521.0
2019-10-01,13833.0
2019-11-01,12796.0
2019-12-01,10255.0
2020-01-01,9191.0
2020-02-01,9084.0
2020-03-01,8838.0
2020-04-01,9235.0
2020-05-01,10509.0
2020-06-01,10391.0
2020-07-01,10086.0
2020-08-01,10085.0
2020-09-01,10482.0
2020-10-01,10950.0
2020-11-01,10728.0
2020-12-01,9121.0
2021-01-01,7863.0
2021-02-01,7652.0
2021-03-01,7352.0
2021-04-01,7406.0
2021-05-01,7509.0
2021-06-01,7954.0
2021-07-01,8490.0
2021-08-01,8781.0
2021-09-01,8479.0
2021-10-01,8208.0
2021-11-01,7432.0
2021-12-01,5977.0
2022-01-01,5063.0
