DATE,ACTLISCOU48215
2016-07-01,1863.0
2016-08-01,1897.0
2016-09-01,1932.0
2016-10-01,1976.0
2016-11-01,2022.0
2016-12-01,1978.0
2017-01-01,1977.0
2017-02-01,2012.0
2017-03-01,1997.0
2017-04-01,2014.0
2017-05-01,2015.0
2017-06-01,2055.0
2017-07-01,2122.0
2017-08-01,2271.0
2017-09-01,2256.0
2017-10-01,2256.0
2017-11-01,2239.0
2017-12-01,2219.0
2018-01-01,2170.0
2018-02-01,2171.0
2018-03-01,2171.0
2018-04-01,2112.0
2018-05-01,2111.0
2018-06-01,2141.0
2018-07-01,2117.0
2018-08-01,2058.0
2018-09-01,2042.0
2018-10-01,2077.0
2018-11-01,2152.0
2018-12-01,2121.0
2019-01-01,2091.0
2019-02-01,2151.0
2019-03-01,2181.0
2019-04-01,2103.0
2019-05-01,2051.0
2019-06-01,2076.0
2019-07-01,2086.0
2019-08-01,2047.0
2019-09-01,2013.0
2019-10-01,2059.0
2019-11-01,2016.0
2019-12-01,1971.0
2020-01-01,1896.0
2020-02-01,1937.0
2020-03-01,1904.0
2020-04-01,1922.0
2020-05-01,1769.0
2020-06-01,1482.0
2020-07-01,1311.0
2020-08-01,1195.0
2020-09-01,1089.0
2020-10-01,1123.0
2020-11-01,1193.0
2020-12-01,1192.0
2021-01-01,1143.0
2021-02-01,1067.0
2021-03-01,980.0
2021-04-01,905.0
2021-05-01,827.0
2021-06-01,808.0
2021-07-01,824.0
2021-08-01,838.0
2021-09-01,1000.0
2021-10-01,1016.0
2021-11-01,1038.0
2021-12-01,1059.0
2022-01-01,956.0
