DATE,ACTLISCOU6047
2016-07-01,598.0
2016-08-01,611.0
2016-09-01,587.0
2016-10-01,597.0
2016-11-01,577.0
2016-12-01,541.0
2017-01-01,486.0
2017-02-01,494.0
2017-03-01,494.0
2017-04-01,521.0
2017-05-01,531.0
2017-06-01,527.0
2017-07-01,571.0
2017-08-01,698.0
2017-09-01,702.0
2017-10-01,685.0
2017-11-01,718.0
2017-12-01,726.0
2018-01-01,676.0
2018-02-01,648.0
2018-03-01,636.0
2018-04-01,652.0
2018-05-01,631.0
2018-06-01,635.0
2018-07-01,685.0
2018-08-01,738.0
2018-09-01,782.0
2018-10-01,852.0
2018-11-01,888.0
2018-12-01,902.0
2019-01-01,859.0
2019-02-01,891.0
2019-03-01,856.0
2019-04-01,833.0
2019-05-01,882.0
2019-06-01,927.0
2019-07-01,932.0
2019-08-01,897.0
2019-09-01,839.0
2019-10-01,842.0
2019-11-01,747.0
2019-12-01,718.0
2020-01-01,666.0
2020-02-01,605.0
2020-03-01,585.0
2020-04-01,606.0
2020-05-01,635.0
2020-06-01,526.0
2020-07-01,421.0
2020-08-01,307.0
2020-09-01,284.0
2020-10-01,310.0
2020-11-01,366.0
2020-12-01,294.0
2021-01-01,254.0
2021-02-01,206.0
2021-03-01,198.0
2021-04-01,188.0
2021-05-01,198.0
2021-06-01,230.0
2021-07-01,271.0
2021-08-01,290.0
2021-09-01,332.0
2021-10-01,327.0
2021-11-01,312.0
2021-12-01,278.0
2022-01-01,232.0
