DATE,TOTLISCOU6075
2016-07-01,1271.0
2016-08-01,1149.0
2016-09-01,1267.0
2016-10-01,1443.0
2016-11-01,1303.0
2016-12-01,825.0
2017-01-01,683.0
2017-02-01,861.0
2017-03-01,984.0
2017-04-01,1027.0
2017-05-01,1143.0
2017-06-01,1204.0
2017-07-01,1102.0
2017-08-01,993.0
2017-09-01,1168.0
2017-10-01,1356.0
2017-11-01,1213.0
2017-12-01,813.0
2018-01-01,649.0
2018-02-01,869.0
2018-03-01,1016.0
2018-04-01,1073.0
2018-05-01,1158.0
2018-06-01,1167.0
2018-07-01,1077.0
2018-08-01,966.0
2018-09-01,1249.0
2018-10-01,1502.0
2018-11-01,1394.0
2018-12-01,931.0
2019-01-01,668.0
2019-02-01,912.0
2019-03-01,1019.0
2019-04-01,1084.0
2019-05-01,1115.0
2019-06-01,1115.0
2019-07-01,1023.0
2019-08-01,1054.0
2019-09-01,1188.0
2019-10-01,1455.0
2019-11-01,1279.0
2019-12-01,788.0
2020-01-01,610.0
2020-02-01,877.0
2020-03-01,924.0
2020-04-01,661.0
2020-05-01,1008.0
2020-06-01,1408.0
2020-07-01,1692.0
2020-08-01,1978.0
2020-09-01,2221.0
2020-10-01,2501.0
2020-11-01,2300.0
2020-12-01,1692.0
2021-01-01,1260.0
2021-02-01,1526.0
2021-03-01,1614.0
2021-04-01,1605.0
2021-05-01,1641.0
2021-06-01,1634.0
2021-07-01,1540.0
2021-08-01,1415.0
2021-09-01,1696.0
2021-10-01,1927.0
2021-11-01,1659.0
2021-12-01,1118.0
2022-01-01,845.0
