DATE,MASUFF5POP
1970-01-01,735.190
1971-01-01,740.600
1972-01-01,736.000
1973-01-01,718.200
1974-01-01,720.600
1975-01-01,712.700
1976-01-01,705.400
1977-01-01,693.000
1978-01-01,660.400
1979-01-01,653.100
1980-01-01,650.142
1981-01-01,656.298
1982-01-01,657.941
1983-01-01,670.820
1984-01-01,674.257
1985-01-01,681.538
1986-01-01,683.924
1987-01-01,680.888
1988-01-01,677.897
1989-01-01,674.542
1990-01-01,663.047
1991-01-01,655.293
1992-01-01,649.953
1993-01-01,653.754
1994-01-01,656.845
1995-01-01,670.605
1996-01-01,672.915
1997-01-01,677.311
1998-01-01,682.208
1999-01-01,689.109
2000-01-01,692.375
2001-01-01,706.527
2002-01-01,712.529
2003-01-01,713.041
2004-01-01,711.782
2005-01-01,713.632
2006-01-01,716.926
2007-01-01,729.862
2008-01-01,743.676
2009-01-01,754.853
2010-01-01,725.786
2011-01-01,737.285
2012-01-01,751.371
2013-01-01,762.863
2014-01-01,774.113
2015-01-01,783.177
2016-01-01,793.02
2017-01-01,801.269
2018-01-01,804.023
2019-01-01,805.915
2020-01-01,801.582
