DATE,CODENV5POP
1970-01-01,514.678
1971-01-01,525.600
1972-01-01,525.800
1973-01-01,525.300
1974-01-01,514.700
1975-01-01,500.600
1976-01-01,501.100
1977-01-01,498.700
1978-01-01,495.200
1979-01-01,495.200
1980-01-01,492.694
1981-01-01,499.024
1982-01-01,504.576
1983-01-01,511.007
1984-01-01,505.507
1985-01-01,504.439
1986-01-01,500.090
1987-01-01,492.049
1988-01-01,479.719
1989-01-01,472.678
1990-01-01,468.139
1991-01-01,478.352
1992-01-01,495.279
1993-01-01,508.388
1994-01-01,512.684
1995-01-01,518.958
1996-01-01,527.643
1997-01-01,536.678
1998-01-01,540.893
1999-01-01,548.848
2000-01-01,556.320
2001-01-01,564.610
2002-01-01,561.367
2003-01-01,558.968
2004-01-01,558.846
2005-01-01,561.570
2006-01-01,568.763
2007-01-01,578.832
2008-01-01,592.880
2009-01-01,609.026
2010-01-01,603.012
2011-01-01,620.25
2012-01-01,634.965
2013-01-01,649.27
2014-01-01,664.54
2015-01-01,683.328
2016-01-01,696.273
2017-01-01,704.869
2018-01-01,716.34
2019-01-01,725.508
2020-01-01,735.538
