DATE,NYNEWY1POP
1970-01-01,1539.233
1971-01-01,1520.800
1972-01-01,1508.100
1973-01-01,1496.100
1974-01-01,1494.400
1975-01-01,1464.100
1976-01-01,1465.800
1977-01-01,1451.800
1978-01-01,1436.000
1979-01-01,1428.100
1980-01-01,1428.285
1981-01-01,1426.006
1982-01-01,1422.332
1983-01-01,1436.028
1984-01-01,1457.879
1985-01-01,1464.286
1986-01-01,1475.202
1987-01-01,1481.531
1988-01-01,1484.183
1989-01-01,1486.046
1990-01-01,1487.073
1991-01-01,1483.644
1992-01-01,1485.877
1993-01-01,1493.582
1994-01-01,1503.909
1995-01-01,1514.184
1996-01-01,1521.415
1997-01-01,1527.384
1998-01-01,1531.067
1999-01-01,1535.624
2000-01-01,1541.031
2001-01-01,1562.938
2002-01-01,1568.041
2003-01-01,1580.322
2004-01-01,1590.911
2005-01-01,1606.275
2006-01-01,1612.630
2007-01-01,1625.251
2008-01-01,1631.196
2009-01-01,1627.935
2010-01-01,1589.041
2011-01-01,1608.717
2012-01-01,1624.573
2013-01-01,1628.379
2014-01-01,1631.733
2015-01-01,1637.327
2016-01-01,1636.721
2017-01-01,1632.337
2018-01-01,1632.393
2019-01-01,1632.326
2020-01-01,1611.989
