DATE,CAVENT2POP
1970-01-01,378.497
1971-01-01,395.700
1972-01-01,408.500
1973-01-01,419.500
1974-01-01,433.900
1975-01-01,448.900
1976-01-01,460.500
1977-01-01,478.700
1978-01-01,494.100
1979-01-01,512.200
1980-01-01,529.174
1981-01-01,546.389
1982-01-01,562.142
1983-01-01,575.586
1984-01-01,588.790
1985-01-01,602.819
1986-01-01,615.422
1987-01-01,632.062
1988-01-01,650.851
1989-01-01,664.692
1990-01-01,670.117
1991-01-01,675.706
1992-01-01,684.143
1993-01-01,689.943
1994-01-01,698.509
1995-01-01,703.486
1996-01-01,710.215
1997-01-01,721.107
1998-01-01,730.779
1999-01-01,743.357
2000-01-01,756.384
2001-01-01,765.179
2002-01-01,776.357
2003-01-01,783.283
2004-01-01,787.261
2005-01-01,785.486
2006-01-01,787.266
2007-01-01,788.732
2008-01-01,793.737
2009-01-01,801.061
2010-01-01,825.144
2011-01-01,829.908
2012-01-01,833.287
2013-01-01,837.729
2014-01-01,842.113
2015-01-01,845.599
2016-01-01,846.921
2017-01-01,848.264
2018-01-01,847.222
2019-01-01,844.203
2020-01-01,841.387
