DATE,KSWICH3POP
1970-01-01,3.274
1971-01-01,3.200
1972-01-01,3.500
1973-01-01,3.500
1974-01-01,3.500
1975-01-01,3.500
1976-01-01,3.600
1977-01-01,3.500
1978-01-01,3.400
1979-01-01,3.300
1980-01-01,3.041
1981-01-01,2.948
1982-01-01,2.957
1983-01-01,3.014
1984-01-01,2.907
1985-01-01,2.881
1986-01-01,2.846
1987-01-01,2.819
1988-01-01,2.859
1989-01-01,2.796
1990-01-01,2.739
1991-01-01,2.692
1992-01-01,2.710
1993-01-01,2.739
1994-01-01,2.787
1995-01-01,2.748
1996-01-01,2.678
1997-01-01,2.664
1998-01-01,2.598
1999-01-01,2.533
2000-01-01,2.509
2001-01-01,2.493
2002-01-01,2.420
2003-01-01,2.385
2004-01-01,2.289
2005-01-01,2.288
2006-01-01,2.203
2007-01-01,2.168
2008-01-01,2.117
2009-01-01,2.093
2010-01-01,2.239
2011-01-01,2.26
2012-01-01,2.228
2013-01-01,2.192
2014-01-01,2.187
2015-01-01,2.166
2016-01-01,2.133
2017-01-01,2.121
2018-01-01,2.112
2019-01-01,2.118
2020-01-01,2.074
